DIST_NAME,AC_NAME,AC_TYPE,CAND_NAME,CAND_SEX,CAND_CATEGORY,CAND_AGE,PARTY,N0_Votes,POSITION,criminal_case,education,total_assest,liabilities
Mathura,MATHURA,GEN,SHRIKANT SHARMA,M,GEN,46,BJP,143361,1,0,Graduate,"Rs 1,04,69,364",Rs 0
Mau,MAU,GEN,MAHENDRA,M,GEN,51,SBSP,88095,2,0,10th Pass,"Rs 82,79,370",Rs 0
Mau,MAU,GEN,N-O-T-A,NULL,NULL,NULL,NOTA,1725,4,0,0,0,0
Jhansi,MAURANIPUR,SC,BIHARI LAL,M,SC,55,BJP,98905,1,0,Graduate,"Rs 68,24,054",Rs 0
Jhansi,MAURANIPUR,SC,DR.RASHMI ARYA,F,SC,39,SP,81934,2,0,Doctorate,"Rs 4,26,45,117","Rs 1,77,73,061"
Jhansi,MAURANIPUR,SC,N-O-T-A,NULL,NULL,NULL,NOTA,3536,4,0,0,0,0
Muzaffarnagar,MEERAPUR,GEN,LIYAKAT ALI,M,GEN,65,SP,68842,2,0,8th Pass,"Rs 57,25,000",Rs 0
Muzaffarnagar,MEERAPUR,GEN,MITHLESH PAL,F,GEN,53,RLD,22751,4,0,Graduate,"Rs 1,13,52,197","Rs 14,97,665"
Muzaffarnagar,MEERAPUR,GEN,NAWAZISH ALAM KHAN,M,GEN,39,BSP,39689,3,0,Graduate,"Rs 84,93,336",Rs 0
Bareilly,MEERGANJ,GEN,BHANU PRATAP SINGH,M,GEN,36,MD,2267,4,0,Graduate,"Rs 1,27,90,000","Rs 17,00,000"
Bareilly,MEERGANJ,GEN,DR. D.C. VARMA,M,GEN,50,BJP,108789,1,0,Post Graduate,"Rs 2,44,93,809","Rs 8,12,000"
Bareilly,MEERGANJ,GEN,NARENDRA PAL SINGH,M,GEN,69,INC,36938,3,0,12th Pass,"Rs 2,54,31,582",Rs 0
Meerut,MEERUT,GEN,MEHFOOZ,M,GEN,49,IND,1391,4,0,5th Pass,"Rs 6,26,905",Rs 0
Meerut,MEERUT,GEN,PANKAJ JAULI,M,GEN,42,BSP,12636,3,0,10th Pass,"Rs 3,67,63,229","Rs 22,31,000"
Meerut,MEERUT,GEN,RAFIQ ANSARI,M,GEN,55,SP,103217,1,0,8th Pass,"Rs 72,61,596",Rs 0
Meerut,MEERUT CANTT.,GEN,RAMESH DHINGRA,M,GEN,62,INC,39650,3,0,10th Pass,"Rs 2,54,00,942","Rs 9,00,000"
Meerut,MEERUT SOUTH,GEN,MOHAMMAD AZAD SAIFI,M,GEN,38,INC,69117,3,0,12th Pass,"Rs 2,36,90,000","Rs 11,50,000"
Meerut,MEERUT SOUTH,GEN,PAPPU,M,GEN,46,RLD,5462,4,0,10th Pass,"Rs 5,39,66,605","Rs 14,290"
Meerut,MEERUT SOUTH,GEN,SOMENDRA TOMAR,M,GEN,36,BJP,113225,1,0,Doctorate,"Rs 3,59,22,711","Rs 63,39,951"
Azamgarh,MEHNAGAR,SC,KALPNATH PASWAN,M,SC,70,SP,69037,1,0,12th Pass,"Rs 73,73,812",Rs 0
Azamgarh,MEHNAGAR,SC,MANJOO SAROJ,F,SC,35,SBSP,63625,2,0,Graduate,"Rs 2,02,11,690","Rs 31,78,369"
Azamgarh,MEHNAGAR,SC,N-O-T-A,NULL,NULL,NULL,NOTA,2492,4,0,0,0,0
Azamgarh,MEHNAGAR,SC,VIDHYA CHAUDHARI,F,SC,62,BSP,60198,3,0,Post Graduate,"Rs 1,42,40,481","Rs 16,27,357"
