"","Target","Fitted"
"283",1,0.90600715380948
"284",1,0.96732758867746
"285",1,0.932257606721381
"290",1,0.951999778724847
"293",1,0.977372198615979
"296",1,0.97670167371651
"302",1,0.927781769487906
"305",1,0.721015882218514
"308",1,0.831587298724141
"310",1,0.57335029860712
"311",1,0.968482319448885
"320",1,0.803169865385823
"322",1,0.991106268722221
"330",1,0.950765581949036
"331",1,0.999989272746568
"332",1,0.906814496652802
"333",1,0.993597192373519
"339",1,0.996819303390646
"341",1,0.965169383654611
"344",1,0.950811812355435
"349",1,0.475709951335805
"352",1,0.394258144369476
"354",1,0.632894129285224
"355",1,0.366556361579516
"356",1,0.999787730820169
"358",1,0.992304997721123
"360",1,0.248408291148805
"365",1,0.949311843194653
"366",1,0.961503766969621
"369",1,0.965119769175804
"370",1,0.319168240179506
"371",1,0.923288685243023
"373",1,0.97213226911853
"377",1,0.989563234269784
"389",1,0.996336115042437
"390",1,0.990345238561939
"392",1,0.9978358255139
"393",1,0.933487302572266
"396",1,0.936570488636781
"403",0,0.426975589670274
"404",0,0.0160112161158932
"407",0,0.0159103471969187
"411",0,0.431118698184413
"412",0,0.0520652168079909
"413",0,0.162188724662185
"415",0,0.191378103319161
"418",0,0.381912874042704
"422",0,0.538578217964434
"425",0,0.405902477530306
"432",0,0.0142847658050656
"434",0,0.718223455836747
"438",0,0.390337247494799
"439",0,0.00407569207230737
"441",0,0.00641758486149862
"442",0,0.00898541062698814
"443",0,0.236277896562895
"445",0,0.00964624564673707
"447",0,0.0437427393303549
"452",0,0.00698276627516289
"453",0,0.649935707069566
"454",0,0.0675926781233936
"455",0,0.0490369883719923
"462",0,0.042218821530236
"474",0,0.0479654913015705
"476",0,0.355500730377945
"479",0,0.120184611396124
"487",0,0.0500958861472639
"488",0,0.0230795182012115
"489",0,0.0350588017020305
"492",0,0.00908270978938811
"493",0,0.0457161295554136
"502",0,0.164434190195401
"503",0,0.330626308258347
"506",0,0.0155716687289545
"507",0,0.0261663517464676
"508",0,0.0443354819139807
"510",0,0.109170215998376
"512",0,0.20326872548678
"513",0,0.0844065861029806
"516",0,0.028132556057438
"521",0,0.264104969723925
"524",0,0.170145756894922
"526",0,0.576368731995596
"534",0,0.00482228156108329
"536",0,0.446598529817668
"539",0,0.0324730907802003
"543",0,0.229963356316292
"545",0,0.0217984228134027
"547",0,0.00376895789483498
"548",0,0.0114755911967378
"549",0,0.0694370179061683
"550",0,0.0314904941795498
"553",0,0.0218537961054108
"555",0,0.0223826927731648
"556",0,0.494501788860028
"560",0,0.254733150553254
"562",0,0.310589266173778
"564",0,0.605145464006575
"566",0,0.076823232425265
"567",0,0.106273806574182
"572",0,0.276033518076591
"580",0,0.014964536418501
"581",0,0.161636645551595
"588",0,0.9708289583766
"589",0,0.00481991130187014
"591",0,0.0461817487706987
"592",0,0.0153497258899471
"607",0,0.727913134678526
"612",0,0.0176767982583118
"615",0,0.0632374472865745
"619",0,0.103651681757624
"621",0,0.28884758697454
"624",0,0.929320803688577
"626",0,0.0348795830527542
"628",0,0.045753861095695
"631",0,0.08493303553931
"635",0,0.0189439425797937
"636",0,0.0514409377990526
"638",0,0.0864912568226938
"644",0,0.0350420928336427
"648",0,0.118406915542741
"650",0,0.689221462673036
"653",0,0.0542214460976761
"657",0,0.231431953738987
"660",0,0.359502341694481
"662",0,0.00563660247059968
"663",0,0.0184410347516466
"667",0,0.0256212054691768
"670",0,0.831431568059797
"672",0,0.424613494723136
"675",0,0.665614049363222
"676",0,0.820062419948108
"678",0,0.074508391989027
"680",0,0.540417451881686
"685",0,0.961177874164185
"687",0,0.263002272341271
"691",0,0.00581589825792383
"700",0,0.151828924736338
"703",0,0.509689812767786
"711",0,0.762691893197111
"712",0,0.0263843838808174
"713",0,0.0471099220599614
"719",0,0.116830318720889
"721",0,0.588056141267115
"723",0,0.120668655245113
"726",0,0.0256922170911383
"730",0,0.0350045259340451
"731",0,0.177884578926056
"736",0,0.989227716344295
"738",0,0.0258410330421515
"739",0,0.020619338238629
"740",0,0.0288089332183593
"752",0,0.301800123844385
"754",0,0.0232528001508215
"756",0,0.0344785363191157
"758",0,0.0119998609273763
